Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,IdentifierRules,parseQualifiedIdentifier,42,8,1
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,IdentifierRules,escapeQuotesWith,6,2,1
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,CollectionUtils,CollectionUtils,2,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,CollectionUtils,isEmpty,3,1,1
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,ConnectionProvider,getConnection,0,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,ConnectionProvider,isConnectionValid,0,1,2
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,ConnectionProvider,close,0,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,ConnectionProvider,identifier,3,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,DateTimeUtils,getTimeZoneCalendar,3,1,1
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,DateTimeUtils,formatDate,8,1,2
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,DateTimeUtils,formatTime,8,1,2
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,DateTimeUtils,formatTimestamp,8,1,2
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,DateTimeUtils,DateTimeUtils,2,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,BytesUtil,toHex,8,2,1
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,TableDefinition,TableDefinition,10,3,2
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,TableDefinition,id,3,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,TableDefinition,columnCount,3,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,TableDefinition,definitionForColumn,3,1,1
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,TableDefinition,definitionsForColumns,3,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,TableDefinition,primaryKeyColumnNames,3,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,TableDefinition,columnNames,3,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,TableDefinition,hashCode,3,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,TableDefinition,equals,10,3,1
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,TableDefinition,toString,3,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,JdbcDriverInfo,JdbcDriverInfo,7,1,5
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,JdbcDriverInfo,jdbcMajorVersion,3,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,JdbcDriverInfo,jdbcMinorVersion,3,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,JdbcDriverInfo,productName,3,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,JdbcDriverInfo,productVersion,3,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,JdbcDriverInfo,jdbcDriverName,3,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,JdbcDriverInfo,jdbcVersionAtLeast,9,3,2
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,JdbcDriverInfo,toString,14,4,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,CachedConnectionProvider,CachedConnectionProvider,3,1,1
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,CachedConnectionProvider,CachedConnectionProvider,5,1,3
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,CachedConnectionProvider,getConnection,16,3,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,CachedConnectionProvider,isConnectionValid,3,1,2
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,CachedConnectionProvider,newConnection,26,3,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,CachedConnectionProvider,close,15,2,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,CachedConnectionProvider,identifier,3,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,CachedConnectionProvider,onConnect,2,1,1
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,TableId,TableId,6,1,3
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,TableId,catalogName,3,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,TableId,schemaName,3,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,TableId,tableName,3,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,TableId,unqualified,3,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,TableId,appendTo,11,3,2
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,TableId,hashCode,3,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,TableId,equals,10,3,1
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,TableId,compareTo,38,11,1
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,TableId,toString,3,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,Version,getVersion,3,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,TableDefinitions,TableDefinitions,3,1,1
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,TableDefinitions,get,13,4,2
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,TableDefinitions,refresh,6,1,2
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,ColumnDefinition,ColumnDefinition,17,1,15
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,ColumnDefinition,isAutoIncrement,3,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,ColumnDefinition,isCaseSensitive,3,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,ColumnDefinition,isSearchable,3,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,ColumnDefinition,isCurrency,3,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,ColumnDefinition,isPrimaryKey,3,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,ColumnDefinition,nullability,3,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,ColumnDefinition,isOptional,3,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,ColumnDefinition,isSignedNumber,3,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,ColumnDefinition,displaySize,3,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,ColumnDefinition,id,3,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,ColumnDefinition,tableId,3,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,ColumnDefinition,precision,3,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,ColumnDefinition,scale,3,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,ColumnDefinition,type,3,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,ColumnDefinition,typeName,3,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,ColumnDefinition,mutability,3,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,ColumnDefinition,classNameForType,3,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,ColumnDefinition,hashCode,3,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,ColumnDefinition,equals,10,3,1
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,ColumnDefinition,toString,3,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,ColumnDefinition,forTable,7,2,1
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.util,ColumnDefinition,asPartOfPrimaryKey,6,2,1
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,JdbcSourceConnectorConfigTest,setup,14,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,JdbcSourceConnectorConfigTest,cleanup,4,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,JdbcSourceConnectorConfigTest,testConfigTableNameRecommenderWithoutSchemaOrTableTypes,8,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,JdbcSourceConnectorConfigTest,testConfigTableNameRecommenderWitSchemaAndWithoutTableTypes,9,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,JdbcSourceConnectorConfigTest,testConfigTableNameRecommenderWithSchemaAndTableTypes,9,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,JdbcSourceConnectorConfigTest,testCachingRecommender,12,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,JdbcSourceConnectorConfigTest,testDefaultConstructedCachedTableValuesReturnsNull,5,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,JdbcSourceConnectorConfigTest,testCachedTableValuesReturnsCachedResultWithinExpiryTime,8,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,JdbcSourceConnectorConfigTest,testCachedTableValuesReturnsNullResultAtOrAfterExpiryTime,9,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,JdbcSourceConnectorConfigTest,testCachedTableValuesReturnsNullResultIfConfigurationChanges,10,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,JdbcSourceConnectorConfigTest,namedValue,8,3,2
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,JdbcSourceConnectorConfigTest,assertWhitelistRecommendations,3,1,1
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,JdbcSourceConnectorConfigTest,assertBlacklistRecommendations,3,1,1
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,setup,6,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,tearDown,4,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,testBoolean,3,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,testNullableBoolean,4,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,testSmallInt,3,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,testNullableSmallInt,4,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,testInt,3,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,testNullableInt,4,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,testBigInt,3,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,testNullableBigInt,4,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,testReal,3,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,testNullableReal,4,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,testDouble,3,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,testNullableDouble,4,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,testChar,3,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,testNullableChar,4,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,testVarChar,3,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,testNullableVarChar,4,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,testBlob,3,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,testNullableBlob,4,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,testClob,3,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,testNullableClob,4,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,testBinary,3,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,testNullableBinary,4,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,testNumeric,6,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,testDecimal,3,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,testNullableDecimal,4,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,testDate,5,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,testNullableDate,6,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,testTime,5,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,testNullableTime,6,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,testTimestamp,5,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,testNullableTimestamp,6,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,typeConversion,14,3,5
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,JdbcSourceTaskConversionTest,validateRecords,19,2,3
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,JdbcSourceTaskConfigTest,testValidateEmptyConfig,3,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,JdbcSourceTaskConfigTest,testValidateTablesAndQueryMandatoryConfigPresent,8,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,JdbcSourceTaskConfigTest,testValidateQueryAndTablesGiven,10,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,JdbcSourceTaskConfigTest,testValidateQueryGiven,9,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,JdbcSourceTaskConfigTest,testValidateTablesGiven,10,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,TimestampIncrementingCriteriaTest,beforeEach,6,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,TimestampIncrementingCriteriaTest,assertExtractedOffset,19,4,3
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,TimestampIncrementingCriteriaTest,extractIntOffset,5,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,TimestampIncrementingCriteriaTest,extractLongOffset,5,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,TimestampIncrementingCriteriaTest,extractDecimalOffset,6,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,TimestampIncrementingCriteriaTest,extractTooLargeDecimalOffset,6,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,TimestampIncrementingCriteriaTest,extractFractionalDecimalOffset,6,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,TimestampIncrementingCriteriaTest,extractWithIncColumn,5,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,JdbcSourceTaskLifecycleTest,testMissingParentConfig,5,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,JdbcSourceTaskLifecycleTest,testMissingTables,5,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,JdbcSourceTaskLifecycleTest,testStartStop,10,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,JdbcSourceTaskLifecycleTest,testPollInterval,13,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,JdbcSourceTaskLifecycleTest,testSingleUpdateMultiplePoll,17,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,JdbcSourceTaskLifecycleTest,testMultipleTables,22,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,JdbcSourceTaskLifecycleTest,testMultipleTablesMultiplePolls,33,5,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,JdbcSourceTaskLifecycleTest,validatePollResultTable,6,2,3
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,tearDown,4,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testBulkPeriodicLoad,23,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testIncrementingInvalidColumn,5,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testTimestampInvalidColumn,5,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.source,JdbcSourceTaskUpdateTest,testManualIncrementing,3,1,0
